province,year,avg_temperature,avg_humidity,total_rainfall,RR_Q1,RR_Q2,RR_Q3,RR_Q4,Tavg_Q1,Tavg_Q2,Tavg_Q3,Tavg_Q4,production,productivity,harvest_area,temp_humidity_index,rainfall_per_area,is_java,rainfall_category_kering,rainfall_category_normal,rainfall_category_basah,region_Bali_Nusa,region_Jawa,region_Kalimantan,region_Maluku_Papua,region_Sulawesi,region_Sumatera
nusa tenggara timur,2019,26.915501263689976,78.832350463353,9.303411683748465,8.880585523102495,7.277178615743036,4.93662988078576,7.696757945185603,26.766356589147286,26.974381625441698,25.625559701492534,28.118500797448164,811724180,4082,198867.41,2121.8122285160284,4.678198244388382e-05,0,True,False,False,True,False,False,False,False,False
nusa tenggara timur,2020,27.3680052956752,79.81862312444837,9.456309428065621,8.723231274827508,7.676288186447972,5.304299438225584,8.363995390788695,27.365299684542585,27.13679245283019,26.678794178794178,28.101932367149757,725024300,3990,181690.63,2184.4765003634056,5.204621409230162e-05,0,True,False,False,True,False,False,False,False,False
papua,2018,25.473570398846707,84.61364728495916,10.033484581649823,8.797488045434001,8.611411866655219,8.52389071286396,8.636628195155001,25.56196660482375,25.206732673267325,24.82662835249042,26.298446601941748,223119420,4257,52411.95,2155.4117008165917,0.00019143505593162383,0,True,False,False,False,False,False,True,False,False
papua,2019,26.661511685728495,84.25459970164097,9.982321838053936,9.058237593766226,8.646606114777011,8.232706009860976,8.1891612352046,26.36678260869565,26.84626865671642,26.22823275862069,27.284174311926606,235339510,4348,54131.72,2246.3549945216773,0.000184407992877556,0,True,False,False,False,False,False,True,False,False
papua,2020,25.954761904761906,83.84033613445378,10.093057774165993,8.877953777739922,8.627320328661705,8.453315785027478,8.814746383663282,26.447457627118645,25.840425531914892,25.54840182648402,25.804273504273503,166002300,3148,52727.52,2176.055962384954,0.00019141916350800875,0,True,False,False,False,False,False,True,False,False
papua barat,2018,26.72466281310212,85.52023121387283,9.137092030234342,7.754009738072624,7.918082652782675,7.48700561286197,7.797537750975496,26.958426966292134,26.605947955390334,26.169037656903765,27.113688212927755,24967130,3215,7767.01,2285.4993428892826,0.0011763976122691185,0,True,False,False,False,False,False,True,False,False
papua barat,2019,26.73022861981372,84.73497036409822,9.236349191157233,8.023683445415479,8.170355417755697,7.4219552033870775,7.604495995052212,26.98855218855219,26.858024691358025,25.689891696750905,27.331095406360422,29943560,4163,7192.15,2264.9851299254856,0.0012842264383132957,0,True,False,False,False,False,False,True,False,False
papua barat,2020,27.066992665036672,84.37408312958435,9.353071814063169,7.717840694009964,8.06573649945708,7.988644775995676,8.057789187137113,27.514236111111114,27.127414330218066,26.36007067137809,27.22179104477612,24378330,3220,7570.63,2283.752689187654,0.0012354416741682994,0,True,False,False,False,False,False,True,False,False
riau,2018,26.94251012145749,84.32388663967612,8.302811145770601,6.594276651486346,6.871298741971522,6.144614726601657,7.537376758662204,26.53191489361702,27.115044247787612,27.237037037037037,26.806578947368422,266375530,3728,71448.08,2271.897169270108,0.00011620761740005504,0,True,False,False,False,False,False,False,False,True
riau,2019,27.286305278174037,83.15977175463624,8.27977321518322,6.721907512411624,6.953493170655991,6.22436038986487,7.355129790167511,27.26797385620915,27.691666666666666,27.622093023255815,26.69471153846154,230873970,3656,63142.04,2269.122918960279,0.00013112932705170637,0,True,False,False,False,False,False,False,False,True
riau,2020,27.148628428927683,83.66583541147132,8.771339162648562,6.804836224974296,7.60668570429781,7.089743446874854,7.756366562166154,27.232795698924733,27.471144278606964,27.01034482758621,26.91452282157676,243685040,3764,64733.13,2271.4126777818547,0.0001355000007151448,0,True,False,False,False,False,False,False,False,True
sulawesi barat,2018,27.74493670886076,79.79746835443038,7.353145979962621,6.25613384525069,5.864766894062025,4.014579593753238,6.45378246680893,27.18472222222222,27.794871794871796,27.801204819277107,28.127710843373492,316478370,4846,65303.78,2213.97570902099,0.000112599086589423,0,True,False,False,False,False,False,False,True,False
sulawesi barat,2019,27.903343465045594,78.38297872340425,6.783211943907537,5.637642672151656,5.6736668507515775,2.4849066497880004,5.71042701737487,27.62151898734177,27.920481927710846,27.328235294117647,28.75365853658537,300142220,4796,62581.47,2187.14717713251,0.00010839010241887312,0,True,False,False,False,False,False,False,True,False
sulawesi barat,2020,27.847337278106508,80.35502958579882,6.863907879201861,5.958424693029782,4.804840381116659,4.859812404361672,5.7745515455444085,28.006249999999998,27.97307692307692,27.68648648648649,27.76206896551724,345050370,5323,64826.18,2237.6736108679665,0.00010588172676753501,0,True,False,False,False,False,False,False,True,False
